code_new,metrics,definitions
qps37,Officer injuries ,"Total number of on-job officer injuries (inlcluding those from traffic accidents, assaults on officers, etc.) per internal incident reports submitted to OSHA/IA in the fiscal year."
qps37_01,Officer injuries per sworn officer FTE,[Officer injuries] divided by [Approved sworn officer FTEs].
qps38,Officer deaths on duty,"Total number of officer deaths on duty, as entered in the FBI’s LEOKA database in the fiscal year. This includes all types of deaths, including traffic accidents."
qps38_01,Officer deaths on duty per sworn officer FTE,[Officer deaths on duty] divided by [Approved sworn officer FTEs].
qps39,Approved sworn officer FTEs,"Total number of approved sworn officer full-time equivalent (FTE) positions, filled or unfilled (including administrative positions), for the fiscal year. This includes full-time and regular part-time positions eligible for full benefits. It does not include seasonal and part-time positions not eligible for full benefits."
qps39_01,Approved sworn officer FTEs per capita,"[Approved sworn officer FTEs] divided by [Population, 2020]."
qps40,Approved civilian FTEs,"Total approved civilian (non-sworn) full-time equivalent (FTE) positions, filled or unfilled (including administrative positions), for the fiscal year. This includes approved, regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qps40_01,Ratio of approved sworn officer to civilian FTEs,[Approved sworn officer FTEs] divided by [Approved civilian FTEs].
qps41,Training and development expenses,Total amount spent on training and development for all staff (sworn and civilian) in the fiscal year.
qps41_01,Training and development expenses as a percentage of total expenses,[Training and development expenses] divided by [Total expenses for police service] and multiplied by 100.
qps42,Personnel expenses for Police Service ,"Total amount of personnel expenses for police services in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qps43,Operational expenses for Police Service ,"Total amount of operational expenses for police services in the fiscal year. This amount includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qps43_01,Personnel expenses as a percentage of total police service expenses,[Personnel expenses for Police Service] divided by [Total expenses for police service] and multiplied by 100.
qps43_02,Expenses for police service per capita,"[Total expenses for police service] divided by [Population, 2020]."
qps43_03,Total expenses for police service,[Personnel expenses for Police Service] + [Operational expenses for Police Service].
qre01,Tons of curbside recycling collected,"Total tons of recyclables collected by jurisdiction crews, private haulers, and drop-off sites in the fiscal year, as reported for NCDEQ's Local Government Annual Solid Waste and Materials Management Report  (Recycling Totals)."
qre01_01,Tons of curbside recycling collected per Capita,"[Tons of curbside recycling collected] divided by [Population, 2020]."
qre01_02,Tons of curbside recycling collected per FTE,[Tons of curbside recycling collected] divided by [Approved household recycling FTEs].
qre01_03,Total expenses per tons of curbside recycling collected,[Total expenses for Household Recycling] divided by [Tons of curbside recycling collected].
qre02,Tons of commingled recycling collected,"Total tons of commingled recyclables collected by jurisdiction crews, private haulers, and drop-off sites in the fiscal year, as reported for NCDEQ's Local Government Annual Solid Waste and Materials Management Report. Commingled recycling, also known as single-stream recycling or mixed recycling, is a system in which some or all household recyclables (plastic, metal, paper, cardboard, glass) are collected together."
